time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-08T00:39:23.220Z,37.4929,-31.6888,10,4.6,mb,,91,4.901,0.54,us,us70004edn,2019-07-08T00:59:41.040Z,"222km SSW of Santa Cruz das Flores, Portugal",earthquake,11.2,1.9,0.052,109,reviewed,us,us
2019-07-08T00:09:02.927Z,10.8437,-85.6324,60.71,5.2,mww,,51,0.865,0.92,us,us70004ed6,2019-07-09T03:50:59.980Z,"25km S of La Cruz, Costa Rica",earthquake,5.1,3.3,0.073,18,reviewed,us,us
2019-07-07T22:00:55.642Z,30.8371,141.4843,35,4.5,mb,,140,3.778,0.59,us,us70004ebb,2019-07-07T22:49:18.040Z,"295km SSE of Hachijo-jima, Japan",earthquake,12.3,2,0.131,17,reviewed,us,us
2019-07-07T20:33:28.504Z,-6.9868,155.8108,98.88,4.6,mb,,94,4.57,0.81,us,us70004e8q,2019-07-07T20:59:42.040Z,"82km SSE of Panguna, Papua New Guinea",earthquake,5.4,7,0.089,38,reviewed,us,us
2019-07-07T18:49:14.681Z,-23.9144,-179.8749,516.15,5.1,mb,,71,5.587,0.96,us,us70004e5q,2019-07-07T19:13:59.040Z,"South of the Fiji Islands",earthquake,8.3,6.7,0.03,362,reviewed,us,us
2019-07-07T18:49:00.783Z,-23.7751,-179.932,523.57,5.3,mb,,115,6.289,1.19,us,us70004e5s,2019-07-07T19:07:20.040Z,"South of the Fiji Islands",earthquake,13.1,9.8,0.078,54,reviewed,us,us
2019-07-07T18:35:09.991Z,0.3821,126.2355,35,4.6,mb,,140,1.195,0.81,us,us70004e4x,2019-07-07T19:24:30.040Z,"133km WSW of Kota Ternate, Indonesia",earthquake,7.8,2,0.122,20,reviewed,us,us
2019-07-07T18:17:25.735Z,0.5359,126.3453,35,4.6,mb,,125,3.902,1.41,us,us70004e4f,2019-07-07T19:17:40.040Z,"116km WSW of Kota Ternate, Indonesia",earthquake,10.9,2,0.096,32,reviewed,us,us
2019-07-07T17:05:16.491Z,0.5388,126.2116,35,4.8,mb,,98,5.459,1.25,us,us70004e2f,2019-07-07T17:47:31.040Z,"131km WSW of Kota Ternate, Indonesia",earthquake,9.8,2,0.061,83,reviewed,us,us
2019-07-07T16:12:16.366Z,-21.636,-66.907,239.36,4.6,mb,,71,1.761,0.61,us,us70004e17,2019-07-07T17:10:41.040Z,"104km SW of Atocha, Bolivia",earthquake,9.2,7.7,0.146,14,reviewed,us,us
2019-07-07T15:43:59.051Z,0.5432,126.155,35,4.9,mb,,58,1.232,0.6,us,us70004e0j,2019-07-07T16:23:53.040Z,"137km W of Kota Ternate, Indonesia",earthquake,7.3,2,0.082,53,reviewed,us,us
2019-07-07T15:29:16.086Z,0.5107,126.3378,35,4.9,mb,,44,1.061,0.83,us,us70004e08,2019-07-07T16:25:37.040Z,"118km WSW of Kota Ternate, Indonesia",earthquake,6.9,2,0.112,28,reviewed,us,us
2019-07-07T15:08:40.632Z,0.5229,126.1994,36.26,6.9,mww,,21,1.193,0.86,us,us70004dz3,2019-07-09T11:57:46.154Z,"133km WSW of Kota Ternate, Indonesia",earthquake,6.5,4.9,0.043,51,reviewed,us,us
2019-07-07T13:35:46.734Z,17.1089,146.1306,109.83,4.5,mb,,77,1.886,0.54,us,us70004dxn,2019-07-07T14:08:40.040Z,"96km NNE of Anatahan, Northern Mariana Islands",earthquake,11,8.3,0.077,49,reviewed,us,us
2019-07-07T13:17:54.424Z,8.8398,-84.3637,10,4.5,mb,,224,0.963,0.64,us,us70004dx9,2019-07-09T00:51:06.454Z,"68km SSW of Quepos, Costa Rica",earthquake,6.2,1.9,0.088,38,reviewed,us,us
2019-07-07T13:05:39.495Z,44.579,148.4033,35,4.7,mb,,136,4.607,0.56,us,us70004dwy,2019-07-07T15:40:01.040Z,"83km SSE of Kuril'sk, Russia",earthquake,9.8,2,0.043,161,reviewed,us,us
2019-07-07T10:52:58.514Z,18.8229,-46.0648,10,4.9,mb,,62,14.986,0.8,us,us70004dul,2019-07-07T11:10:25.040Z,"Northern Mid-Atlantic Ridge",earthquake,11.7,1.9,0.06,88,reviewed,us,us
2019-07-07T08:50:29.793Z,15.8149,-96.5042,36.01,4.6,mb,,163,2.631,0.74,us,us70004dsc,2019-07-07T16:47:17.656Z,"9km NNW of San Pedro Pochutla, Mexico",earthquake,4.4,9.9,0.033,281,reviewed,us,us
2019-07-07T07:59:52.818Z,-23.3946,-174.938,10,4.8,mb,,88,6.348,0.81,us,us70004ds8,2019-07-07T09:01:27.040Z,"228km S of `Ohonua, Tonga",earthquake,7.8,1.9,0.088,40,reviewed,us,us
2019-07-07T07:51:05.663Z,-6.1792,147.444,59.95,4.8,mb,,77,4.109,0.59,us,us70004dqj,2019-07-07T08:10:15.040Z,"66km NW of Finschhafen, Papua New Guinea",earthquake,8.7,7.5,0.08,48,reviewed,us,us
2019-07-07T06:34:29.765Z,-32.3129,-178.8175,35,4.9,mb,,158,3.152,0.9,us,us70004dp4,2019-07-07T07:36:44.040Z,"97km S of L'Esperance Rock, New Zealand",earthquake,6.2,2,0.094,35,reviewed,us,us
2019-07-07T05:38:15.510Z,35.7643318,-117.5773315,6.9,4.52,mw,60,56,0.1582,0.18,ci,ci38472279,2019-07-09T12:21:58.752Z,"16km W of Searles Valley, CA",earthquake,0.19,0.79,,6,reviewed,ci,ci
2019-07-07T04:03:10.974Z,-18.4835,-173.8234,10,5.1,mb,,29,3.738,0.88,us,us70004djh,2019-07-07T04:58:22.333Z,"24km NE of Neiafu, Tonga",earthquake,8.6,1.8,0.033,301,reviewed,us,us
2019-07-06T23:50:41.930Z,35.8188324,-117.6591644,2.97,4.5,mw,57,41,0.08653,0.17,ci,ci38469375,2019-07-08T14:27:59.570Z,"22km N of Ridgecrest, CA",earthquake,0.16,0.75,,6,reviewed,ci,ci
2019-07-06T22:10:09.123Z,-22.02,170.0248,10,4.9,mb,,99,3.322,1.12,us,us70004dbs,2019-07-06T22:33:23.040Z,"213km W of Ile Hunter, New Caledonia",earthquake,6,1.9,0.102,30,reviewed,us,us
2019-07-06T18:51:56.804Z,35.5693,140.8755,47.51,4.5,mb,,125,2.296,1.13,us,us70004d5f,2019-07-08T15:05:52.898Z,"18km SSE of Hasaki, Japan",earthquake,6.4,7.1,0.054,102,reviewed,us,us
2019-07-06T17:52:21.314Z,-32.8251,-178.3713,10,5.1,mb,,168,3.588,0.95,us,us70004d2w,2019-07-06T18:25:44.040Z,"162km SSE of L'Esperance Rock, New Zealand",earthquake,11.7,1.9,0.118,23,reviewed,us,us
2019-07-06T14:12:57.499Z,69.9246,-15.5565,10,4.6,mb,,55,5.656,1.23,us,us70004crl,2019-07-06T16:08:00.040Z,"250km ESE of Ittoqqortoormiit, Greenland",earthquake,9.1,1.9,0.036,233,reviewed,us,us
2019-07-06T13:06:55.200Z,35.9280014,-117.706337,1.53,4.5,mw,54,40,0.08527,0.19,ci,ci38463551,2019-07-07T13:10:07.788Z,"18km E of Little Lake, CA",earthquake,0.18,0.34,,6,reviewed,ci,ci
2019-07-06T11:39:38.942Z,-18.3429,176.3464,10,4.9,mb,,85,1.729,0.98,us,us70004cip,2019-07-06T13:00:17.040Z,"128km WSW of Nadi, Fiji",earthquake,10,1.9,0.063,80,reviewed,us,us
2019-07-06T11:08:16.479Z,-20.9805,169.8075,98.58,5.6,mww,,49,3.314,1.33,us,us70004cgb,2019-07-07T11:11:14.215Z,"168km SSE of Isangel, Vanuatu",earthquake,7.8,6,0.071,19,reviewed,us,us
2019-07-06T09:45:33.771Z,-27.8049,-176.2172,10,5,mb,,76,2.08,0.65,us,us70004cbt,2019-07-06T10:18:24.040Z,"231km NE of Raoul Island, New Zealand",earthquake,5.7,1.8,0.105,29,reviewed,us,us
